"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"1",1,1,"09/02/2016","6:09","BROOKLYN",11226,40.6505297,-73.9558249,"(40.6505297, -73.9558249)","CHURCH AVENUE","BEDFORD AVENUE",,3,0,0,0,0,0,3,0,"Unspecified","Unspecified",,,,3517723,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"2",2,43,"07/01/2016","8:52","BROOKLYN",11226,40.6524883,-73.952663,"(40.6524883, -73.952663)","ROGERS AVENUE","LINDEN BOULEVARD",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3477657,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"3",3,246,"08/31/2016","10:08","MANHATTAN",10016,40.7440912,-73.9763477,"(40.7440912, -73.9763477)","EAST 33 STREET","2 AVENUE",,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",,,,3542333,"SPORT UTILITY / STATION WAGON","PICK-UP TRUCK",,,,2
"4",4,272,"08/24/2015","2:45","QUEENS",11420,40.6812604,-73.8186788,"(40.6812604, -73.8186788)","122 STREET","111 AVENUE",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",3283556,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",5
"5",6,403,"09/03/2015","8:00","BROOKLYN",11222,40.7281344,-73.9532731,"(40.7281344, -73.9532731)","CALYER STREET","MANHATTAN AVENUE",,0,0,0,0,0,0,0,0,"Unspecified",,,,,3289688,"PASSENGER VEHICLE","UNKNOWN",,,,2
"6",7,404,"08/23/2015","18:50","BROOKLYN",11204,40.6150052,-73.9802186,"(40.6150052, -73.9802186)","BAY PARKWAY","63 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3283351,"PASSENGER VEHICLE","UNKNOWN",,,,2
"7",8,477,"08/23/2015","9:20","BRONX",10454,40.8122647,-73.9205856,"(40.8122647, -73.9205856)","WILLIS AVENUE","EAST 143 STREET",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3283877,"PASSENGER VEHICLE","UNKNOWN",,,,2
"8",11,520,"09/12/2016","11:09","BRONX",10467,40.8795863,-73.8664214,"(40.8795863, -73.8664214)","EAST 213 STREET","WILLETT AVENUE",,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3517593,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"9",12,527,"09/12/2016","13:09","BROOKLYN",11236,40.6423428,-73.893961,"(40.6423428, -73.893961)","EAST 101 STREET","AVENUE K",,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",,,,3518617,"PASSENGER VEHICLE",,,,,1
"10",13,528,"09/12/2016","13:09","QUEENS",11358,40.7608367,-73.8020486,"(40.7608367, -73.8020486)","NORTHERN BOULEVARD","164 STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Backing Unsafely",,,,3518852,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
